,Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products,Clean Brand
512,TONYMOLY,Haedong Bae,False,True,2006,"Skin Care, Gifts, Bath & Body",70,False
513,Too Faced,Jerrod Blandino and Jeremy Johnson,False,False,1998,"Makeup, Gifts, Skin Care, Fragrance",55,False
514,Toppik,Mark H. Kress,False,False,1981,"Hair ,Men",13,True
515,Tory Burch,Tory Burch,True,False,2004,"Fragrance ,Gifts",6,False
516,Touchland,Andrea Lisbona,True,False,2010,,3,False
517,Tree Hut,Julia and Joh Olson,True,True,2002,"Bath & Body ,Skin Care ,Gifts",44,False
518,Tresemme,Edna L. Emmé,True,False,1948,"Styling Products ,Shampoo & Conditioner ,Treatment",16,False
519,Treslúce Beauty,Becky G,True,False,2021,"Makeup ,Tools & Brushes",11,False
520,Truly,Erol Toker,False,False,2016,"Skin Care ,Bath & Body ,Hair ,Gifts ,Men ,Makeup ,Fragrance",99,True
521,Tula,Roshini Raj,True,True,2013,"Skin Care ,Gifts ,Makeup ,Bath & Body",57,False
522,Turbie Twist,Angela Carr and Christina Cummings,True,False,2006,"Bath & Body ,Gifts",4,False
523,Tweezerman,Dal LaMagna,False,False,1980,"Tools & Brushes ,Makeup ,Nails ,Bath & Body ,Gifts ,Men ,Skin Care",51,False
524,Tyme,Jacynda Smith,True,False,2020,,1,False
525,ULTA,Terry Hanson and Dick George,True,False,1990,"ULTA Collection ,Bath & Body ,Makeup ,Skin Care ,Tools & Brushes ,Gifts ,Fragrance ,Nails ,Hair",513,False
526,Undone Beauty,Ann Somma,True,False,2018,"Makeup ,Skin Care ,Gifts ,Tools & Brushes ,Bath & Body",29,True
527,Urban Decay Cosmetics,"Pat Holmes, Sandy Lerner, Wende Zomnir and David Soward",True,False,1996,"Makeup, Gifts, Tools & Brushes, Skin Care",58,False
528,Urban Hydration,Psyche Terry,True,True,2010,"Skin Care ,Bath & Body",18,True
529,Urban Skin Rx Pro Strength,Rachel Roff,True,False,2010,"Treatment & Serums ,Moisturizers ,Cleansers",6,False
530,Urban Veda,Sheilesh Shah,False,True,2013,"Skin Care ,Gifts",20,True
531,Ursa Major,Oliver Sweatman and Emily Doyle,True,False,1869,"Men ,Skin Care ,Bath & Body",5,True
532,Valentino,Valentino Garavani,False,False,1960,"Lips ,Face",3,False
533,Velour Lashes,Mabel Lee,True,True,2011,"Makeup ,Tools & Brushes ,Skin Care",22,False
534,Verb,Claire Moses,True,False,2009,"Hair ,Gifts ,Bath & Body ,Men",38,False
535,Vichy,Prosper Haller,False,False,1931,"Skin Care ,Bath & Body ,Makeup",34,False
536,Viktor&Rolf,Viktor Horsting and Rolf Snoeren,False,False,1993,"Fragrance ,Men ,Gifts",18,False
537,Virtue,Melisse Shaban,True,False,2013,"Hair ,Gifts",41,False
538,VitaminSea.beauty,Kelly Roth,True,False,2016,"Global Skin Care ,Treatment & Serums ,Cleansers",11,False
539,Viviscal,James Murphy,False,False,1990,"Hair ,Skin Care ,Bath & Body ,Men",6,True
540,Voir,Nia Schindle and Andy Hoang,True,True,2017,"Shampoo & Conditioner ,Treatment ,Styling Products",10,True
541,Volt,Jaro Turek,True,False,2001,,1,False
542,Wahl,Leo J. Wahl,False,False,1919,"Men ,Tools & Brushes ,Bath & Body",4,False
