Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean
OLEHENRIKSEN,Ole Henriksen,FALSE,FALSE,1975,"Skincare, Makeup",32,22,0.69
Omorovicza,Margaret De Heinrich De Omorovicza,TRUE,FALSE,2006,Makeup,1,1,1.00
ONE/SIZE by Patrick Starrr,Patrick Starrr,FALSE,TRUE,2020,"Makeup, Skincare",23,0,0.00
The Ordinary,Jo Ingram,TRUE,FALSE,2012,"Skincare, Makeup, Hair",42,0,0.00
Oribe,Oribe Canales,FALSE,FALSE,2008,"Hair, Skincare, Bath & Body",77,0,0.00
The Original MakeUp Eraser,Elexsis McCarthy,TRUE,FALSE,2013,"Makeup, Skincare,Tools & Brushes",7,0,0.00
Origins,Leonard Lauder,FALSE,FALSE,1990,"Skincare, Bath & Body, Makeup",43,38,0.88
OTHERLAND,Abigail Cook Stone,TRUE,FALSE,2017,"Fragrance, Bath & Body",22,0,0.00
OTZI,Helmut and Erika Simon,TRUE,FALSE,1991,Skincare,5,5,1.00
OUAI,Jen Atkin,TRUE,FALSE,2016,"Hair, Skincare, Bath & Body, Fragrance",49,0,0.00
Overose,Matthieu Belhandouz,FALSE,FALSE,2016,"Fragrance, Bath & Body",12,0,0.00
Paco Rabanne,Paco Rabanne,FALSE,FALSE,1966,"Fragrance, Bath & Body",8,0,0.00
PAT McGRATH LABS,Pat McGrath,TRUE,TRUE,2006,"Makeup, Skincare,Tools & Brushes",41,0,0.00
PATRICK TA,Rima Minasyan and Patick Ta,TRUE,FALSE,2019,"Makeup, Skincare, Bath & Body, Tools & Brushes",27,0,0.00
PATTERN by Tracee Ellis Ross,Tracee Ellis Ross,TRUE,TRUE,2019,"Hair, Tools & Brushes",40,0,0.00
Paula's Choice,Paula Begoun,TRUE,FALSE,1995,"Skincare, Bath & Body, Makeup",31,0,0.00
Peace Out,Enrico Frezza,FALSE,FALSE,2017,Skincare,13,0,0.00
Peter Thomas Roth,Peter Thomas Roth,FALSE,FALSE,1993,"Skincare, Bath & Body, Makeup",58,0,0.00
philosophy,Cristina Carlino,TRUE,FALSE,1996,"Skincare, Bath & Body, Hair, Fragrance",28,0,0.00
The Phluid Project,Rob Smith,FALSE,FALSE,2018,Fragrance,8,0,0.00
PHLUR,Eric Korman,FALSE,FALSE,2014,Fragrance,2,2,1.00
Playa,Shelby Wild,TRUE,FALSE,2016,Hair,14,11,0.79
PMD,Philippe d'Offay,FALSE,FALSE,1998,"Skincare, Tools & Brushes",9,0,0.00
Prada,Mario Prada,FALSE,FALSE,1913,Fragrance,15,0,0.00
Prima,Christopher Gavigan,FALSE,FALSE,2019,"Skincare, Bath & Body",7,7,1.00
Pureology,Jim Markham,FALSE,FALSE,2001,Hair,41,0,0.00
Qhemet Biologics,Felis Butler,TRUE,TRUE,2004,Hair,10,10,1.00
Rahua,Fabian Lliguin and Anna Ayers,TRUE,FALSE,2008,Hair,2,2,1.00
Ralph Lauren,Ralph Lauren,FALSE,FALSE,1967,"Fragrance, Bath & Body",28,0,0.00
RANAVAT,Michelle Ranavat,TRUE,TRUE,2017,"Hair, Skincare",8,8,1.00
Rare Beauty by Selena Gomez,Selena Gomez,TRUE,TRUE,2020,"Makeup, Skincare,Tools & Brushes",35,0,0.00
REFY,Jenna Meek and Jess Hunt,TRUE,FALSE,2018,"Makeup, Tools & Brushes",8,0,0.00
REN Clean Skincare,Robert Calcraft and Antony Buck,FALSE,FALSE,2000,"Skincare, Bath & Body, Makeup",38,30,0.79
Reverie,Arvind Pani and Derek Hsue,TRUE,TRUE,2009,Hair,8,8,1.00
rms beauty,Rose-Marie Swift,TRUE,FALSE,2009,"Makeup, Skincare",20,18,0.90
ROSE INC,Rosie Huntington-Whiteley,TRUE,FALSE,2018,"Makeup, Skincare,Tools & Brushes",14,14,1.00
ROSE Ingleton MD,Dr. Rose Ingleton,TRUE,TRUE,2019,Skincare,5,5,1.00
Rosebud Perfume Co.,George F. Smith ,FALSE,FALSE,1895,"Skincare, Makeup",8,8,1.00
Rossano Ferretti Parma,Rossano Ferretti,TRUE,FALSE,1990,Hair,21,21,1.00
Saie,Laney Crowell,TRUE,FALSE,2019,"Makeup, Skincare,Tools & Brushes",14,14,1.00
Saint Jane,Casey Georgeson,TRUE,FALSE,2019,"Skincare, Bath & Body",5,5,1.00
Sakara Life,Danielle Duboise and Whitney Tingle,TRUE,FALSE,2012,"Skincare, Bath & Body",4,0,0.00
Selfless by Hyram,Mark Curry,FALSE,FALSE,2021,Skincare,5,5,1.00
SEPHORA COLLECTION,Dominique Mandonnaud,FALSE,FALSE,1970,"Skincare, Hair, Tools & Brushes, Bath & Body, Makeup, Fragrance",367,50,0.14
Shani Darden Skin Care,Jessica Alba,TRUE,FALSE,2013,"Skincare, Tools & Brushes",12,0,0.00
Shiseido,Arinobu Fukuhara,FALSE,TRUE,1872,"Makeup, Skincare, Bath & Body, Tools & Brushes",92,0,0.00
shu uemura,Shu Uemura,FALSE,TRUE,1967,"Skincare, Hair",46,0,0.00
SK-II,Calvin Ng,FALSE,TRUE,1980,Skincare,16,0,0.00
Skin Laundry,Yen Reis,TRUE,TRUE,2013,Skincare,3,0,0.00
Skinfix,Amy Gordinier,TRUE,FALSE,2012,"Skincare, Bath & Body, Makeup",25,25,1.00
Skylar﻿NEW,Cat Chen,TRUE,TRUE,2017,"Fragrance, Bath & Body",22,19,0.86
Slip,Fiona Stewart,TRUE,FALSE,2004,"Skincare, Hair, Tools & Brushes, Fragrance",16,0,0.00
Smashbox,Davis Factor and Dean Factor,FALSE,FALSE,1996,"Makeup, Skincare",42,0,0.00
