,Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean,Clean
119,Iconic London,Jade Elliott,True,True,2015,"Makeup, Skincare",11,0,0.0,False
120,IGK,"Franck Izquierdo, Chase Kusero, Aaron Grenia and Leo Izquierdo",False,False,2016,Hair,40,0,0.0,False
121,ILIA,Sasha Plavsic,True,False,2011,"Makeup, Skincare",34,33,0.97,True
122,INC.redible,Thea Green,True,False,2017,"Makeup, Skincare, Bath & Body",23,0,0.0,False
123,Indie Lee,Suee Wagners,True,False,2013,Skincare,5,5,1.0,True
124,The INKEY List,Colette Laxton and Mark Curry,True,False,2018,Skincare,43,21,0.49,True
125,iNNBEAUTY PROJECT,Alisa Metzger,True,False,2019,"Skincare, Makeup",10,8,0.8,True
126,innisfree,Suh Kyungbae,False,True,2000,"Skincare, Bath & Body",31,0,0.0,False
127,Isle of Paradise,Jules Von Hep,False,False,2019,"Skincare, Bath & Body",19,16,0.84,True
128,IT Cosmetics,Jamie Kern Lima and Paulo Lima,True,False,2008,"Makeup, Skincare, Bath & Body, Tools & Brushes",55,0,0.0,False
129,ITEM Beauty By Addison Rae,Madeby Collective and Addison Rae,True,False,2020,"Makeup, Skincare",15,15,1.0,True
130,Jack Black,"Curran Dandurand, Emily Dalton and Jeff Dandurand",True,False,2000,"Skincare, Makeup, Bath & Body, Fragrance, Hair",50,0,0.0,False
131,Jillian Dempsey﻿NEW,Jillian Dempsey,True,False,2014,"Tools & Brushes, Skincare",1,0,0.0,False
132,JIMMY CHOO,Jimmy Choo and Tamara Mellon,True,False,1996,Fragrance,3,0,0.0,False
133,JLo Beauty,Jennifer Lopez,True,True,2021,"Skincare, Bath & Body, Makeup",10,0,0.0,False
134,Jo Malone London,Jo Malone,True,False,1990,"Fragrance, Makeup, Skincare, Bath & Body",89,0,0.0,False
135,John Varvatos,John Varvatos,False,False,1999,Fragrance,2,0,0.0,False
136,Josie Maran,Josie Maran,True,False,2007,"Skincare, Bath & Body, Makeup, Hair",29,29,1.0,True
137,Jouer Cosmetics,Christina Zilber,True,False,2008,"Skincare, Makeup",26,0,0.0,False
138,Juicy Couture,Gela Nash and Pamela Skaist,True,False,1997,Fragrance,10,0,0.0,False
139,Juliette Has a Gun,Romano Ricci,False,False,2005,"Fragrance, Bath & Body",28,0,0.0,False
140,JVN,Jonathan McDonald Van Ness,False,False,2021,Hair,12,12,1.0,True
141,K18 Biomimetic Hairscience﻿NEW,Britta Cox and Suveen Sahib,True,False,2018,Hair,2,2,1.0,True
142,Kaja,Hyungseok Dino Ha,False,True,2018,"Makeup, Skincare,Tools & Brushes",21,0,0.0,False
143,Kate Somerville,Kate Somerville,True,False,2004,"Skincare, Bath & Body",42,0,0.0,False
144,KAYALI﻿NEW,Mona Monica Kattan,True,True,2018,Fragrance,23,0,0.0,False
145,Kérastase,François Dalle ,False,False,1964,Hair,106,1,0.01,True
146,Kiehl's Since 1851,John Kiehl,False,False,1851,"Skincare, Bath & Body, Makeup, Hair",84,1,0.01,True
147,KILIAN Paris,Kilian Hennessy,False,False,2007,Fragrance,27,0,0.0,False
148,Kitsch﻿NEW,Cassandra Thurswell,True,False,2010,"Hair, Tools & Brushes",7,0,0.0,False
149,KNC Beauty,Kristen Noel Crawley,True,True,2016,"Skincare, Makeup",2,2,1.0,True
150,Koh Gen Do,Ai Saotome,True,True,1986,"Skincare, Makeup",5,0,0.0,False
151,Kopari,Kiana Cabell and Gigi Goldman,True,False,2015,"Skincare, Bath & Body, Makeup",15,15,1.0,True
152,KORA Organics,Miranda Kerr,True,False,2009,"Skincare, Tools & Brushes, Bath & Body",14,12,0.86,True
153,KORRES,Lena Korres and Georgios Korres,True,False,1996,Skincare,15,14,0.93,True
154,Kosas,Sheena Yaitanes,True,True,2015,"Skincare, Makeup, Bath & Body",20,20,1.0,True
155,KVD Beauty,Kat Von D,True,False,2008,"Makeup, Skincare, Fragrance, Tools & Brushes",52,0,0.0,False
156,L'Occitane,Olivier Baussan,False,False,1976,"Skincare, Bath & Body, Makeup",30,0,0.0,False
157,L'Oreal Professionnel,Eugène Schueller,False,False,1909,"Hair, Tools & Brushes",2,0,0.0,False
