Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										Dyson
								",James Dyson,FALSE,FALSE,1991,"Tools & Brushes ,Hair ,Gifts",11
e.l.f. Cosmetics,Scott-Vincent Borba and Joseph Shamah,FALSE,FALSE,2004,"Makeup, Tools & Brushes, Skin Care, Gifts, Bath & Body",183
"
										Earth Therapeutics
								",Henry Kang,FALSE,FALSE,2002,"Bath & Body ,Skin Care ,Nails ,Gifts ,Makeup",71
"
										Eau de Juice
								","Ilias Ermenidis, Clément Gavarry, and Honorine Blanc",TRUE,FALSE,2019,,4
"
										EcoTools
								",Stacey Bingaman and Jenny Ball,TRUE,FALSE,2007,"Tools & Brushes ,Makeup ,Gifts ,Bath & Body ,Skin Care ,Hair",46
"
										Eczema Honey
								",Minesh Patel,FALSE,TRUE,2010,"Bath & Body ,Skin Care",9
"
										Elaluz by Camila Coelho
								",Camila Coelho,TRUE,TRUE,2020,"Makeup ,Skin Care ,Bath & Body",8
"
										Elcie Cosmetics
								",Lilit Caradanian,TRUE,FALSE,2016,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",22
"
										ELEMIS
								","Noella Gabriel, Oriele Frank, and Sean C. Harrington",TRUE,FALSE,1988,"Skin Care ,Bath & Body ,Men ,Makeup ,Gifts ,Tools & Brushes",55
"
										Elizabeth Arden
								",Elizabeth Arden,TRUE,FALSE,1910,"Skin Care ,Fragrance ,Gifts ,Bath & Body",30
"
										Elizabeth Taylor
								","
										Elizabeth Taylor
								",TRUE,FALSE,1991,,1
"
										ella+mila
								",Narineh Bedrossian,TRUE,FALSE,2014,"Nails ,Gifts",21
"
										Ellis Brooklyn
								",Bee Shapiro,TRUE,TRUE,2014,"Fragrance ,Gifts ,Bath & Body",22
"
										Eos
								",Dan Larimer,FALSE,FALSE,2006,"Skin Care ,Bath & Body",7
"
										Erborian
								",Katalin Berenyi and Hojung Lee,TRUE,TRUE,2007,"Skin Care ,Makeup ,Bath & Body",34
"
										Ere Perez
								",Ere and Juan Perez,TRUE,TRUE,2004,"Face ,Lips ,Eyes",9
"
										Essence
								",Christina Oster-Daum,TRUE,TRUE,2005,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",119
"
										Essie
								", Essie Weingarten,TRUE,FALSE,1981,"Nails ,Gifts",36
"
										Estée Lauder
								",Estée Lauder and Joseph Lauder,TRUE,FALSE,1946,"Skin Care, Makeup, Gifts, Fragrance",92
"
										Eva Nyc
								","Shay, Nir Kadosh, and Vita Raykhman",TRUE,TRUE,2012,"Hair ,Tools & Brushes ,Gifts",35
"
										Everpro
								",Steve Borrebach,FALSE,FALSE,2013,,1
"
										Every Man Jack
								",Ritch Viola,FALSE,FALSE,2007,"Men ,Bath & Body ,Skin Care ,Gifts ,Hair",19
"
										Everyday Humans
								",Charlotte C Pienaar,TRUE,TRUE,2018,"Skin Care ,Bath & Body",4
"
										Exa
								",Greg Papadopoulos,FALSE,FALSE,1991,"Eyes ,Face",4
"
										Exuviance
								",Dr Eugene Van Scott and Dr Ruey Yu,FALSE,TRUE,2014,"Skin Care, Gifts, Makeup",44
"
										Eyeko
								",Nina Leykind,TRUE,FALSE,1999,"Makeup ,Gifts ,Skin Care",21
"
										Eylure
								",David and Eric Aylott,FALSE,FALSE,1947,"Eyelashes ,Eyeliner",54
FACE HALO,Lizzy Pike,TRUE,FALSE,2017,"Skin Care ,Makeup ,Tools & Brushes ,Hair ,Gifts ,Bath & Body",6
"
										Fairy Tales
								",Risa Barash,TRUE,FALSE,1999,"Hair ,Gifts ,Tools & Brushes",19
"
										Fake Bake
								",Sandra McClumpha,TRUE,FALSE,2001,,2
"
										FEKKAI
								",Frédéric Fekka,FALSE,FALSE,1996,"Hair ,Gifts ,Bath & Body",42
"
										FENTY BEAUTY by Rihanna
								",Robyn Rihanna Fenty,TRUE,TRUE,2017,"Makeup, Tools & Brushes, Gifts",54
"
										Fifth & Root 
								",Vanessa Florentino,TRUE,FALSE,1993,"Skin Care ,Bath & Body",6
"
										Flawless by Finishing Touch
								",Andy Khubani,FALSE,FALSE,2017,"Bath & Body ,Tools & Brushes ,Skin Care ,Gifts ,Nails",19
"
										Flora & Curl
								",Rose Ovensehi,TRUE,TRUE,2017,"Shampoo & Conditioner ,Styling Products",7
"
										florence by mills
								",Millie Bobby Brown,TRUE,FALSE,2019,"Skin Care ,Makeup ,Hair ,Gifts ,Tools & Brushes ,Bath & Body",46
"
										FLOWER Beauty
								",Drew Barrymore,TRUE,FALSE,2013,"Makeup ,Gifts ,Skin Care",52
"
										Flowery
								",Geoff Geils,FALSE,FALSE,1910,"Nails ,Bath & Body",21
"
										Foreo
								",Filip Sedic ,FALSE,FALSE,2013,"Skin Care ,Tools & Brushes",11
"
										Formula 10.0.6
								",Hadley and Peyton Bell,TRUE,FALSE,1933,"Skin Care ,Bath & Body",34
"
										Four Reasons Color Mask
								",Gunnar Didrichsen,FALSE,FALSE,1997,,1
"
										FOUR SIGMATIC
								",Tero Isokauppila and Mikko Revonniemi,FALSE,FALSE,2012,"Supplements ,Sleep Essentials",3
"
										Fourth Ray Beauty
								",Laura and John Nelson,TRUE,FALSE,2018,"Skin Care ,Gifts",26
